Action,Date,Ad Title/Id,Page/App
Impression,2025/07/14,683121306,The Roku Channel
Impression,2025/07/15,728833103,unilad.com
Impression,2025/07/16,410181453,gamesradar.com
Impression,2025/07/16,454358783,gamesradar.com
Impression,2025/07/16,639874436,gamesradar.com
Impression,2025/07/16,683121306,The Roku Channel
Impression,2025/07/16,695137374,gamesradar.com
Impression,2025/07/16,712625674,gamesradar.com
Impression,2025/07/16,727044526,Samsung TV Plus FREE
Impression,2025/07/16,727126946,gamesradar.com
Impression,2025/07/16,727172896,gamesradar.com
Impression,2025/07/16,728891953,cnbc.com
Impression,2025/07/16,736784763,gamesradar.com
Impression,2025/07/16,749637106,gamesradar.com
Impression,2025/07/16,749670696,gamesradar.com
Impression,2025/07/16,752011896,gamesradar.com
Impression,2025/07/16,752020646,gamesradar.com
Impression,2025/07/16,757409166,gamesradar.com
Click,2025/07/17,783494996,dailymail.co.uk
Impression,2025/07/17,567066526,gamesradar.com
Impression,2025/07/17,567091086,gamesradar.com
Impression,2025/07/17,680622184,dailymail.co.uk
Impression,2025/07/17,685064426,dailymail.co.uk
Impression,2025/07/17,702420194,dailymail.co.uk
Impression,2025/07/17,708994853,dailymail.co.uk
Impression,2025/07/17,709360936,gamesradar.com
Impression,2025/07/17,712745304,gamesradar.com
Impression,2025/07/17,728807103,gamesradar.com
Impression,2025/07/17,730684443,gamesradar.com
Impression,2025/07/17,754678936,dailymail.co.uk
Impression,2025/07/17,754678936,gamesradar.com
Impression,2025/07/17,754678946,gamesradar.com
Impression,2025/07/17,754686936,gamesradar.com
Impression,2025/07/17,754695696,gamesradar.com
Impression,2025/07/17,754695706,gamesradar.com
Impression,2025/07/17,754704336,gamesradar.com
Impression,2025/07/17,755664346,gamesradar.com
Impression,2025/07/17,783494996,dailymail.co.uk
Impression,2025/07/18,698316553,ca.news.yahoo.com
Impression,2025/07/20,676262064,The Roku Channel
Impression,2025/07/21,676262064,The Roku Channel
Impression,2025/07/21,694858884,mail.yahoo.com
Impression,2025/07/21,694886034,mail.yahoo.com
Impression,2025/07/21,694894884,mail.yahoo.com
Impression,2025/07/21,694932914,mail.yahoo.com
Impression,2025/07/21,694932944,mail.yahoo.com
Impression,2025/07/22,681880036,The Roku Channel
Impression,2025/07/22,694886034,mail.yahoo.com
Impression,2025/07/22,694932944,mail.yahoo.com
Impression,2025/07/22,706980874,mail.yahoo.com
Impression,2025/07/22,728852673,mail.yahoo.com
Impression,2025/07/23,689511286,foxnews.com
Impression,2025/07/24,683072046,The Roku Channel
Impression,2025/07/24,683121306,Samsung TV Plus FREE
Impression,2025/07/24,699816674,The Roku Channel
Impression,2025/07/24,727044526,Samsung TV Plus FREE
Impression,2025/07/24,728852673,travel.usnews.com
Impression,2025/07/25,698316553,hindustantimes.com
Impression,2025/07/25,698316553,thehill.com
Impression,2025/07/25,698336073,thehill.com
Impression,2025/07/25,752011946,thehill.com
Impression,2025/07/25,797206366,thehill.com
Impression,2025/07/27,676262064,The Roku Channel
Impression,2025/07/27,698336073,hindustantimes.com
Impression,2025/07/28,728842823,nypost.com
Impression,2025/07/29,676262064,The Roku Channel
Impression,2025/07/29,683121306,The Roku Channel
Impression,2025/07/29,699816674,Samsung TV Plus FREE
Impression,2025/07/29,727044526,Samsung TV Plus FREE
Impression,2025/08/01,653954864,newsweek.com
Impression,2025/08/01,728813483,arstechnica.com
