Challenge Date,IP Address,User Agent,Country,Challenge Type
Fri Mar 29 18:31:38 UTC 2024,49.204.28.135,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",India,EMAIL_PIN_CHALLENGE
Fri Mar 29 18:31:59 UTC 2024,49.204.28.135,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",India,EMAIL_PIN_CHALLENGE
Fri Mar 29 18:32:00 UTC 2024,49.204.28.135,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",India,SSP_BLOCKING_CHALLENGE
Fri Mar 29 18:32:05 UTC 2024,49.204.28.135,"Mozilla/5.0 (Linux; Android 14; Pixel 7 Build/AP1A.240305.019.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.119 Mobile Safari/537.36 com.linkedin.android/182900 [LinkedInApp]/0.994.108",India,SSP_BLOCKING_CHALLENGE
Fri Mar 29 18:32:07 UTC 2024,49.204.28.135,"Mozilla/5.0 (Linux; Android 14; Pixel 7 Build/AP1A.240305.019.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.119 Mobile Safari/537.36 com.linkedin.android/182900 [LinkedInApp]/0.994.108",India,LINKEDIN_APP_CHALLENGE
Fri Mar 29 18:32:19 UTC 2024,49.204.28.135,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",India,SSP_BLOCKING_CHALLENGE
Wed Aug 28 16:53:32 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 16:53:32 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 16:53:46 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 16:53:48 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Wed Aug 28 16:53:48 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Wed Aug 28 20:00:26 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 20:00:26 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 20:00:36 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 20:00:37 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Wed Aug 28 20:00:37 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Wed Aug 28 20:57:35 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 20:57:35 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 20:57:49 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Wed Aug 28 20:57:50 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Wed Aug 28 20:57:50 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Thu Aug 29 15:29:34 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Thu Aug 29 15:29:34 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Thu Aug 29 15:29:57 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Thu Aug 29 15:29:58 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Thu Aug 29 15:29:58 UTC 2024,149.40.50.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Thu Aug 29 16:35:08 UTC 2024,71.233.156.152,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Thu Aug 29 16:39:39 UTC 2024,2606:40:8686:807c:0:0:c61:c481,"Mozilla/5.0 (Linux; Android 14; Pixel 9 Build/AD1A.240530.047; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36 com.linkedin.android/188400 [LinkedInApp]/1.54.117",Unknown,SSP_BLOCKING_CHALLENGE
Thu Aug 29 16:39:42 UTC 2024,2606:40:8686:807c:0:0:c61:c481,"Mozilla/5.0 (Linux; Android 14; Pixel 9 Build/AD1A.240530.047; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/127.0.6533.103 Mobile Safari/537.36 com.linkedin.android/188400 [LinkedInApp]/1.54.117",Unknown,LINKEDIN_APP_CHALLENGE
Thu Aug 29 16:39:42 UTC 2024,71.233.156.152,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Tue Nov 26 15:11:19 UTC 2024,138.199.40.173,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Unknown,SSP_BLOCKING_CHALLENGE
Tue Nov 26 15:11:28 UTC 2024,209.122.218.26,"Mozilla/5.0 (Linux; Android 15; Pixel 9 Build/AP3A.241105.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.39 Mobile Safari/537.36 com.linkedin.android/191502 [LinkedInApp]/1.85.185",United States,SSP_BLOCKING_CHALLENGE
Tue Nov 26 15:11:32 UTC 2024,209.122.218.26,"Mozilla/5.0 (Linux; Android 15; Pixel 9 Build/AP3A.241105.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.39 Mobile Safari/537.36 com.linkedin.android/191502 [LinkedInApp]/1.85.185",United States,LINKEDIN_APP_CHALLENGE
Tue Nov 26 15:11:33 UTC 2024,209.122.218.26,"Mozilla/5.0 (Linux; Android 15; Pixel 9 Build/AP3A.241105.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.39 Mobile Safari/537.36 com.linkedin.android/191502 [LinkedInApp]/1.85.185",United States,LINKEDIN_APP_CHALLENGE
Tue Nov 26 15:11:34 UTC 2024,138.199.40.173,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Unknown,SSP_BLOCKING_CHALLENGE
Thu Jan 23 03:21:40 UTC 2025,37.218.226.42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",United Arab Emirates,SSP_BLOCKING_CHALLENGE
Thu Jan 23 03:21:45 UTC 2025,37.218.226.40,"Mozilla/5.0 (Linux; Android 15; Pixel 9 Build/AP4A.250105.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.260 Mobile Safari/537.36 com.linkedin.android/193400 [LinkedInApp]/1.104.51",United Arab Emirates,SSP_BLOCKING_CHALLENGE
Thu Jan 23 03:21:46 UTC 2025,37.218.226.40,"Mozilla/5.0 (Linux; Android 15; Pixel 9 Build/AP4A.250105.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/131.0.6778.260 Mobile Safari/537.36 com.linkedin.android/193400 [LinkedInApp]/1.104.51",United Arab Emirates,LINKEDIN_APP_CHALLENGE
Thu Jan 23 03:22:02 UTC 2025,37.218.226.42,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",United Arab Emirates,SSP_BLOCKING_CHALLENGE
Sat Mar 08 18:14:10 UTC 2025,154.30.209.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Sat Mar 08 18:14:10 UTC 2025,154.30.209.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Sat Mar 08 18:14:27 UTC 2025,154.30.209.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,CAPTCHA_CHALLENGE
Sat Mar 08 18:14:29 UTC 2025,154.30.209.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Sat Mar 08 18:14:29 UTC 2025,154.30.209.73,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Sat Mar 08 18:24:59 UTC 2025,191.102.142.223,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Honduras,CAPTCHA_CHALLENGE
Sat Mar 08 18:24:59 UTC 2025,191.102.142.223,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Honduras,CAPTCHA_CHALLENGE
Sat Mar 08 18:25:11 UTC 2025,191.102.142.223,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Honduras,CAPTCHA_CHALLENGE
Sat Mar 08 18:25:12 UTC 2025,191.102.142.223,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Honduras,EMAIL_PIN_CHALLENGE
Sat Mar 08 18:25:12 UTC 2025,191.102.142.223,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Honduras,EMAIL_PIN_CHALLENGE
