Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-12-18 22:02:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7407540836625825793,"If you're as good with numbers as you are people--and in the New York area-- I cannot recommend applying to this job more strongly!""
""""
""Jaya Pokuri and Vinay Nagaraj are quality founders taking on giants in their niche--and kicking their ass. ""
""""
""As a bonus, Careerspan users can *actually* one click apply if they've got two stories logged!","","",MEMBER_NETWORK
2025-12-10 17:08:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7404567765639983104,"🚀 Skillcraft's approach is as legit as their traction ""
""""
""🎸 David Shacklette is a killer founder, and you won't find anyone who cares about—let alone gets—this problem as much as he does""
""""
""🦾The search is powered by Careerspan—so you apply by sharing your stories and are assessed based on your qualities, not keywords""
""""
""Please share this if you can with anyone who seems like a great fit!","","",MEMBER_NETWORK
2025-12-08 18:02:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7403856397605556224,"Heads up, job seekers!""
""""
""Careerspan has a job board—with a twist.""
""""
""Your Careerspan stories *are* your application. ""
""""
""And the more you share with our AI—the higher your chances of getting noticed. ""
""""
""Careerspan helps you turn the qualities and talent that resumes can't convey into clear hiring signals for employers. ""
""""
""Link in the comments!","","",MEMBER_NETWORK
2025-11-26 18:21:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7399512751834042368,"Had an absolute blast mixing it up with Emily Nelson de Velasco—including one take so spicy I had to let good sense prevail and redact it. ""
""""
""Not to worry though, we let plenty of opinons fly during an excellent conversation.""
""""
""If you haven't already checked her out, Emily is a tremendous follow—particularly for you job seekers!","","",MEMBER_NETWORK
2025-11-19 19:59:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7397000491076833282,"Quick congratulations to the folks over at Zo Computer on today's launch!""
""""
""I fanboy over them hard, but stuff like this is why: https://lnkd.in/eXxDPh3j""
""""
""When I first saw Aviato almost a year ago, I thought ""cool product, shame I'll never use it"". ""
""""
""Now that I use Zo, I have Apollo-grade contact enrichment I can use with natural language commands. ""
""""
""Btw, great work Konrad Kucharski! Your stuff lives up to the hype. ""
""""
""Let the networking bachmanity begin!",https://youtu.be/N_SmuEtvb5Q,"",MEMBER_NETWORK
2025-11-11 13:34:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7394004700737523712,"""By show of hands, how many of you look at more than 10% of your AI meeting notes?""""
""""
""Out of a crowd of about 60 people, one—maybe two—hands go up.""
""""
""A telling illustration of the paradox of modern AI tools.""
""""
""They're both utterly indispensable and painfully underutilized.""
""""
""----""
""""
""Last week, I was invited by the lovely folks over at Zo Computer to demo their product at South Park Commons and in conjunction with AI Circle.""
""""
""As you can see, I came in hot with the AI tooling takes. ""
""""
""My central claim was that modern AI tools are still being designed to fit a pre-AI information environment i.e. a ""capture and store"" model. ""
""""
""Most focus on integrating with everything and hoovering up data from everywhere.""
""""
""Few have a cogent philosophy around how to leverage that data for repeatable future gain. ""
""""
""So what's the answer? ""
""""
""For me, it's been building my own productivity system on Zo Computer—but for all of us?""
""""
""I don't know (yet). ""
""""
""But I've got some interesting leads I'll be exploring here going forward: https://lnkd.in/ewRacNcb""
""""
""Follow along + comment if you want access to one of the more compelling (not to mention entertaining) decks you'll read in a while!""
""""
""A special thanks to Ben Guo, Rob Cheung, Albert Chun, the Zo & SPC teams, and all of my wonderful friends and supporters that made it out that night!","","",MEMBER_NETWORK
2025-11-10 14:05:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7393650091611545600,"Not every founder optimizes for exits. Some optimize for impact.""
""""
""Jessica Greenwalt is in the latter mould, and she's looking for others like her!""
""""
""If you're all about ""moving fast and changing things"", then this is your chance to get the word out.""
""""
""Details below 👇","","",MEMBER_NETWORK
2025-10-30 14:21:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7389667756771594240,"I always thought ""builder"" would remain an unfulfilled ambition.""
""""
""Much like ""stand-up comedian"" and ""starting forward for Arsenal FC"" (don't laugh).""
""""
""Turns out I may have a lot more of that first one in me than I thought, and it's thanks to Zo Computer!""
""""
""Suffice it to say, for a non-technical founder like myself, Zo has been the absolute biggest unlock. ""
""""
""Zo has single-handedly replaced ChatGPT, Notion, n8n, and like 3 other products for me.""
""""
""And if you're even marginally tech-y, it could be a gamechanger for you as well. ""
""""
""That's why I'm chuffed to be speaking at their Builder Happy Hour with AI Circle at South Park Commons on Nov 5th. ""
""""
""You'll hear the sagely Ben Guo drop vibe coding wisdom for the ages, and I'll cap off the talk by demoing some of the cooler use cases I've built out. ""
""""
""Don't miss out. Event link is in the comments.","","",MEMBER_NETWORK
2025-10-24 16:39:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7387528048243539968,"I need a volunteer!""
""""
""Are you someone who —""
""1) Loves the intersection of AI and productivity?""
""2) Has 45-60m to spare this weekend to help me field test a side project I'm deploying?""
""""
""If so, please drop a comment or DM.""
""""
""As for what's in it for you?""
""""
""1) Pre-launch access to the *actual* most powerful AI product of 2025 (yes—I said it)""
""2) A semi-custom productivity suite (~$500)—for free""
""""
""I'm not normally so forward, but believe me when I say this—I've got something incredible to show you. ""
""""
""#wearezoback","","",MEMBER_NETWORK
2025-10-24 13:54:27,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7387486637573689344,"Been thinking a lot about why most career tools fall flat....""
""""
""IMO: they presuppose we already know ourselves well enough to use it effectively.""
""""
""So let me be the first to say to them: we don't, and that's the real problem. ""
""""
""That's why this October 28, I'm joining Eric Stano from Magic EdTech and Lisa Noble from Colby College's Halloran Lab for a conversation about how lifelong learning is reshaping what career growth actually looks like. ""
""""
""On this occasion, we'll have the pleasure of having hot takes cajoled out of us by Magic Edtech's wonderful Olivia Lara-Gresty.""
""""
""Whether you're an HR/L&D professional curious about what to look out for in careertech vendors or just a job seeker with more doubts than answers, you'll find something worth taking away from this panel. ""
""""
""Registration in the comments! See you there.","","",MEMBER_NETWORK
2025-10-21 14:14:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7386404566038163456,"Aki writes consistently thoughtful pieces on the candidate experience. ""
""""
""I encourage y'all to approach her and share your job hunting war stories. ""
""""
""Having spoken to so many of you, I know they are worth sharing -- both as guidance and as succor for others.","","",MEMBER_NETWORK
2025-09-29 19:31:11,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7378511684270727168,"If I've said it once, I've said it a thousand times... ""
""""
""👏 Energy and confidence management are the absolute most underrated part of job hunting""
""""
""Look: you are not a machine for turning hopes and dreams into ATS-compliant resumes. ""
""""
""🫂 You are a person participating in a draining process that certainly won't let you rest if you don't give yourself some grace. ""
""""
""I know that's not easy -- I've been in that place of alternating between maniacally applying for jobs and dreading even opening my laptop as my self-esteem ticks lower with each unrequited workday application. ""
""""
""👌 That's why I love this post from Kim Wilkes.""
""""
""Not *just* because of the Careerspan signal boost (which is always appreciated!)""
""""
""👉 But because she's sharing a powerful reminder that you'll go further and feel better if you punctuate your job search with activities that are grounding and rejuvenating.","","",MEMBER_NETWORK
2025-09-18 19:27:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7374524495853965313,"David Speigel 🔮 has forgotten more about networking than most people have learned in their whole lives. ""
""""
""If you're job searching or just looking to network better, run—don't walk—to this free session.","","",MEMBER_NETWORK
