Entity Name	Setting Value
ac milan	NOT_INTERESTED
atlanta hawks	NOT_INTERESTED
boston bruins	NOT_INTERESTED
buffalo sabres	NOT_INTERESTED
chelsea f.c.	NOT_INTERESTED
coventry city football club	NOT_INTERESTED
derek jeter	NOT_INTERESTED
detroit tigers	NOT_INTERESTED
eva mendes	NOT_INTERESTED
fc barcelona	NOT_INTERESTED
fc bayern munich	NOT_INTERESTED
inter milan	NOT_INTERESTED
jarred kelenic	NOT_INTERESTED
liverpool f.c.	NOT_INTERESTED
luka dončić	NOT_INTERESTED
manchester city f.c.	NOT_INTERESTED
manchester united f.c.	NOT_INTERESTED
maryland terrapins men's basketball	NOT_INTERESTED
meghan mccain	NOT_INTERESTED
netherlands national football team	NOT_INTERESTED
olympic games rio 2016	NOT_INTERESTED
real madrid cf	NOT_INTERESTED
Rockwell Medical Inc (NASDAQ)	NOT_INTERESTED
south africa national cricket team	NOT_INTERESTED
steven crowder	NOT_INTERESTED
syracuse orange men's basketball	NOT_INTERESTED
the walt disney company	NOT_INTERESTED
tottenham hotspur f.c.	NOT_INTERESTED
Business Insider	BLOCKED
Cricket Addictor	BLOCKED
New York Post	BLOCKED
