SCOPE IDENTIFIER	OPT IN STATE	CHANNEL IMPORTANCE	BADGE	SOUND	ALERTS	CRITICAL ALERTS	TIME SENSITIVE	NOTIFICATION CENTER	DISPLAYED ON LOCK SCREEN	ACCEPTS SCHEDULED DELIVERY	LIVE ACTIVITY	LOCATION ALLOWED
channel:USER_CHANNEL_WEATHER		DISABLED										
channel:USER_CHANNEL_SPORTS		DISABLED										
channel:USER_CHANNEL_ENTERTAINMENT		DISABLED										
channel:USER_CHANNEL_FINANCE		DISABLED										
channel:USER_CHANNEL_GET_THINGS_DONE		DISABLED										
channel:USER_CHANNEL_SHOPPING		DISABLED										
channel:USER_CHANNEL_STORIES		DISABLED										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185&channel:CURRENT_WEATHER_CHANNEL		NONE										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185&channel:GET_THINGS_DONE_CHANNEL		NONE										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185&channel:MOVIES_TV_SHOWS_CHANNEL		NONE										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185&channel:SHOPPING_CHANNEL		NONE										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185&channel:SPORTS_SCORES_CHANNEL		NONE										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185&channel:STOCKS_CHANNEL		NONE										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185&channel:STORIES_CHANNEL		NONE										
device:2b41b55947801135def35fb24ee5d3e30c3184a3077090b09c40c9286c58e185	ENABLED											
device:3eb3e9ca96a029b97dfcc9f054b408b3acbedb8fa1fd2078808b29a52e90402c&channel:DEVICE_CHANNEL_SEARCH_REMINDERS		DEFAULT										
device:3eb3e9ca96a029b97dfcc9f054b408b3acbedb8fa1fd2078808b29a52e90402c	ENABLED											
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488&channel:CURRENT_WEATHER_CHANNEL		NONE										
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488&channel:GET_THINGS_DONE_CHANNEL		NONE										
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488&channel:MOVIES_TV_SHOWS_CHANNEL		NONE										
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488&channel:SHOPPING_CHANNEL		NONE										
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488&channel:SPORTS_SCORES_CHANNEL		NONE										
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488&channel:STOCKS_CHANNEL		NONE										
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488&channel:STORIES_CHANNEL		NONE										
device:5fd0e6922d3b3d77e4aeb6b7b84beb60e9e55e6b6c101344203d9bb186863488	ENABLED											
device:6ccf7c0909c5eb25d80b15c5ff04d838409cbcc7ae719fb54599af1fa8b7ac63&channel:DEPRECATED_GOOGLE_GO_BREAKING_NEWS_CHANNEL		DEFAULT										
device:6ccf7c0909c5eb25d80b15c5ff04d838409cbcc7ae719fb54599af1fa8b7ac63	DISABLED											
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:CURRENT_WEATHER_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:MOVIES_TV_SHOWS_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:SHOPPING_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:SPORTS_SCORES_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:STOCKS_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:STORIES_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:SEARCH_EMPLOY_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:WORD_COACH_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c&channel:DEPRECATED_UGC_CHANNEL		NONE										
device:898fc404cb746f3dd0fa217081c8b4b924a719af228295ca2310588d94f23f7c	ENABLED											
device:a466e8e29675f6f4fc79511d8a97086ab6d692744b3ce63756dad6167599eae4	ENABLED											
device:ac77b6e58d17ce92683f336ee80ee0814ead31a8e90b5e900f3b64202f8992ed	DISABLED											
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a&channel:CURRENT_WEATHER_CHANNEL		NONE										
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a&channel:GET_THINGS_DONE_CHANNEL		NONE										
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a&channel:MOVIES_TV_SHOWS_CHANNEL		NONE										
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a&channel:SHOPPING_CHANNEL		NONE										
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a&channel:SPORTS_SCORES_CHANNEL		NONE										
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a&channel:STOCKS_CHANNEL		NONE										
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a&channel:STORIES_CHANNEL		NONE										
device:b872adc726f21d8e9539b0ae3d154e310fa7f825fae43ae63baa663a82d1c58a	ENABLED											
device:c28455d275d13d67a84bef79231016cb7c06563d61b0ffa5a28f35e257c3c7db	ENABLED											
device:c9e5dd8bc53dc8afa22ed3601785f04cd18299c90cef272b59dcf0adb6b001f6	ENABLED											
device:cda7484d78908857148ac6b7188b01dc441246ff6957594e44c2efb62f7c487a	DISABLED											
device:e2f7c075d677e8c13a5f992a2f091ca7cc5c2dd87edd70dc70b301652167f32f	ENABLED											
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:CURRENT_WEATHER_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:MOVIES_TV_SHOWS_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:SHOPPING_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:SPORTS_SCORES_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:STOCKS_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:STORIES_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:SEARCH_EMPLOY_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:WORD_COACH_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f&channel:DEPRECATED_UGC_CHANNEL		NONE										
device:f45d20ae1d647abf9c332d0a06317b11e3281a0edfe5c581123f71c6d59a0f4f	ENABLED											
