SUBSCRIPTION IDENTIFIER	SUBSCRIPTION STATUS
/g/11vf7wpwch	SUBSCRIBED
ac milan	UNSUBSCRIBED
anker soundcore sleep a20	UNSUBSCRIBED
arsenal f.c.	SUBSCRIBED
chelsea f.c.	UNSUBSCRIBED
coventry city football club	UNSUBSCRIBED
england national football team	SUBSCRIBED
fc barcelona	UNSUBSCRIBED
fc bayern munich	UNSUBSCRIBED
india national cricket team	SUBSCRIBED
inter milan	UNSUBSCRIBED
kate mclenny	UNSUBSCRIBED
keeping up with the kardashians	UNSUBSCRIBED
liverpool f.c.	UNSUBSCRIBED
manchester city f.c.	UNSUBSCRIBED
manchester united f.c.	UNSUBSCRIBED
mckinsey & company	UNSUBSCRIBED
netherlands national football team	UNSUBSCRIBED
real madrid cf	UNSUBSCRIBED
south africa national cricket team	UNSUBSCRIBED
tottenham hotspur f.c.	UNSUBSCRIBED
