post,impressions,likes,comments,reposts,likes_per_1k,comments_per_1k,reposts_per_1k,engagement_rate,engagement_score
1,554,11,,,19.856,,,0.0199,0.0199
2,1402,23,5,,16.405,3.566,,0.02,0.0271
3,1014,,,,,,,0.0,0.0
4,514,3,,,5.837,,,0.0058,0.0058
5,764,,,,,,,0.0,0.0
6,3751,38,3,2,10.131,0.8,0.533,0.0115,0.0147
7,2617,55,11,2,21.016,4.203,0.764,0.026,0.0367
8,1670,24,6,1,14.371,3.593,0.599,0.0186,0.0275
9,,,3,,,,,,
10,762,10,,,13.123,,,0.0131,0.0131
11,580,5,,,8.621,,,0.0086,0.0086
12,601,,,,,,,0.0,0.0
13,1075,16,,1,14.884,,0.93,0.0158,0.0186
14,826,6,,,7.264,,,0.0073,0.0073
15,,18,1,,,,,,
