feature,rate_top1000,rate_pops_off,lift_pops_vs_top,rate_zode_subset,rate_zode_pops_off,lift_zode_pops_vs_zode
starts_with_number,0.016,0.0173,1.0816,0.0333,0.0309,0.9266
starts_with_how_why_what,0.04,0.042,1.0507,0.07,0.0734,1.048
has_identity_terms,0.314,0.3263,1.0393,0.4433,0.444,1.0015
has_human_agent_terms,0.437,0.4536,1.0381,0.9967,0.9961,0.9995
has_uncertainty,0.197,0.204,1.0353,0.2533,0.2587,1.0211
is_question_title,0.063,0.0643,1.0203,0.0733,0.0734,1.0004
has_novelty_claim,0.326,0.3276,1.0048,0.4433,0.4286,0.9667
has_contrast,0.397,0.398,1.0026,0.57,0.5483,0.9619
has_security_terms,0.174,0.1743,1.0017,0.2633,0.2471,0.9384
has_operational_terms,0.148,0.1471,0.9939,0.2167,0.2008,0.9266
has_cta_question,0.015,0.0136,0.9065,0.0233,0.0232,0.9928
