feature,rate_clean,rate_clean_pops,lift_clean_pops
starts_with_number,0.0166,0.0204,1.2292
starts_with_how_why_what,0.0356,0.0394,1.1063
has_human_agent_terms,0.4204,0.4423,1.0521
has_identity_terms,0.2933,0.3066,1.0451
has_uncertainty,0.1876,0.1956,1.0425
has_novelty_claim,0.2933,0.3036,1.0351
is_question_title,0.0653,0.0672,1.0281
has_contrast,0.3812,0.3869,1.0148
has_operational_terms,0.1318,0.1328,1.0077
has_security_terms,0.1021,0.1022,1.0005
has_cta_question,0.0107,0.0102,0.956
