company,name,title,twitter_handle,twitter_url,twitter_status,date_added
BetterUp,Alexi Robichaux,CEO & Co-Founder,@Arobichaux,https://x.com/Arobichaux,VERIFIED,2026-01-12
Phenom,Mahe Bayireddi,CEO & Co-Founder,@mahebay,https://x.com/mahebay,VERIFIED,2026-01-12
Rippling,Parker Conrad,CEO & Founder,@parkerconrad,https://x.com/parkerconrad,VERIFIED,2026-01-12
SmartRecruiters,Jerome Ternynck,CEO & Founder,@jerometernynck,https://x.com/jerometernynck,VERIFIED,2026-01-12
Gusto,Josh Reeves,CEO & Co-Founder,@joshuareeves,https://x.com/joshuareeves,VERIFIED,2026-01-12
BambooHR,Brad Rencher,CEO,@bradrencher,https://x.com/bradrencher,VERIFIED,2026-01-12
Ashby,Benjamin Encz,CEO & Co-Founder,@benjaminencz,https://x.com/benjaminencz,VERIFIED,2026-01-12
Deel,Alex Bouaziz,CEO & Co-Founder,@Bouazizalex,https://x.com/Bouazizalex,VERIFIED,2026-01-12
Eightfold.ai,Ashutosh Garg,Co-CEO & Co-Founder,@ashutoshg,https://x.com/ashutoshg,VERIFIED,2026-01-12
Qualtrics,Zig Serafin,CEO,@Zserafin,https://x.com/Zserafin,VERIFIED,2026-01-12
Checkr,Daniel Yanisse,CEO & Co-Founder,@danielyanisse,https://x.com/danielyanisse,VERIFIED,2026-01-12
Apollo.io,Tim Zheng,CEO & Founder,@timatapollo,https://x.com/timatapollo,VERIFIED,2026-01-12
Workable,Nikos Moraitakis,CEO & Founder,@moraitakis,https://x.com/moraitakis,VERIFIED,2026-01-12
Fountain,Sean Behr,CEO,@seanbehr,https://x.com/seanbehr,VERIFIED,2026-01-12
Okta,Todd McKinnon,CEO & Co-Founder,@toddmckinnon,https://x.com/toddmckinnon,VERIFIED,2026-01-12
Harver,Barend Raaff,CEO & Founder,@BarendRaaff,https://x.com/BarendRaaff,VERIFIED,2026-01-12
Greenhouse,Jon Stross,President & Co-Founder,@jonstross,https://x.com/jonstross,VERIFIED,2026-01-12
iCIMS,Steve Lucas,CEO,@nstevenlucas,https://x.com/nstevenlucas,VERIFIED,2026-01-12
Lever (Employ),Jason Forrest,CEO,@employ_inc,https://x.com/employ_inc,NEEDS_VERIFY,2026-01-12
Findem,Hari Kolam,CEO & Co-Founder,@harikolam,https://x.com/harikolam,NEEDS_VERIFY,2026-01-12
Newton.ai,TBD,CEO,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Deel,Dan Westgarth,COO,@DanWestgarth,https://x.com/DanWestgarth,VERIFIED,2026-01-12
Deel,Shuo Wang,Co-Founder & CRO,@shuoshuooshuooo,https://x.com/shuoshuooshuooo,VERIFIED,2026-01-12
Deel,Joe Kauffman,President & CFO,@thejoekauffman,https://x.com/thejoekauffman,VERIFIED,2026-01-12
Rippling,Albert Strasheim,CTO & SVP Engineering,@fullung,https://x.com/fullung,VERIFIED,2026-01-12
Greenhouse,Mike Boufford,CTO,@mboufford,https://x.com/mboufford,VERIFIED,2026-01-12
Gusto,Eddie Kim,CTO & Co-Founder,@edawerd,https://x.com/edawerd,VERIFIED,2026-01-12
Eightfold.ai,Varun Kacholia,CTO & Co-Founder,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Rippling,Matt MacInnis,Chief Product Officer,@stanine,https://x.com/stanine,VERIFIED,2026-01-12
Gusto,Mike Cieri,Chief Product Officer,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
Gusto,Amy Thibodeau,Chief Design Officer,@amythibodeau,https://x.com/amythibodeau,VERIFIED,2026-01-12
Eightfold.ai,Sachit Kamat,Chief Product Officer,NEEDS_RESEARCH,,NEEDS_RESEARCH,2026-01-12
