company,name,title,twitter_handle,twitter_url,twitter_status,linkedin_connection,notes,date_added
BetterUp,Alexi Robichaux,CEO & Co-Founder,@Arobichaux,https://x.com/Arobichaux,VERIFIED,No,,2026-01-12
Phenom,Mahe Bayireddi,CEO & Co-Founder,@mahebay,https://x.com/mahebay,VERIFIED,No,,2026-01-12
Rippling,Parker Conrad,CEO & Founder,@parkerconrad,https://x.com/parkerconrad,VERIFIED,No,"Very active on X, esp. Deel lawsuit drama",2026-01-12
SmartRecruiters,Jerome Ternynck,CEO & Founder,@jerometernynck,https://x.com/jerometernynck,VERIFIED,No,7K followers,2026-01-12
Gusto,Josh Reeves,CEO & Co-Founder,@joshuareeves,https://x.com/joshuareeves,VERIFIED,No,6.8K followers,2026-01-12
BambooHR,Brad Rencher,CEO,@bradrencher,https://x.com/bradrencher,VERIFIED,No,Former Adobe EVP,2026-01-12
Ashby,Benjamin Encz,CEO & Co-Founder,@benjaminencz,https://x.com/benjaminencz,VERIFIED,No,Also goes by Benji,2026-01-12
Deel,Alex Bouaziz,CEO & Co-Founder,@Bouazizalex,https://x.com/Bouazizalex,VERIFIED,No,"Very active, $17.3B valuation",2026-01-12
Eightfold.ai,Ashutosh Garg,Co-CEO & Co-Founder,@ashutoshg,https://x.com/ashutoshg,VERIFIED,No,,2026-01-12
Qualtrics,Zig Serafin,CEO,@Zserafin,https://x.com/Zserafin,VERIFIED,No,2K followers,2026-01-12
Checkr,Daniel Yanisse,CEO & Co-Founder,@danielyanisse,https://x.com/danielyanisse,VERIFIED,No,2.2K followers,2026-01-12
Apollo.io,Tim Zheng,CEO & Founder,@timatapollo,https://x.com/timatapollo,VERIFIED,No,Active handle is @timatapollo,2026-01-12
Greenhouse,Daniel Chait,CEO & Co-Founder,N/A,,NO_TWITTER,No,LinkedIn primary: linkedin.com/in/dhchait,2026-01-12
Gloat,Ben Reuveni,CEO & Co-Founder,N/A,,NO_TWITTER,No,LinkedIn primary,2026-01-12
Guild Education,Rachel Carlson,CEO & Co-Founder,Unverified,https://x.com/Rachel_MCarlson,UNVERIFIED,No,May be different person,2026-01-12
iCIMS,Steve Lucas,Former CEO (now Boomi),@nstevenlucas,https://x.com/nstevenlucas,VERIFIED,No,No longer at iCIMS - find new CEO,2026-01-12
Workday,Carl Eschenbach,CEO,N/A,,NO_TWITTER,No,Uses LinkedIn; mentioned on X but no personal account,2026-01-12
LinkedIn,Ryan Roslansky,CEO,N/A,,NO_TWITTER,No,Uses LinkedIn (obviously),2026-01-12
TrueBlue,Taryn Owen,CEO,N/A,,NO_TWITTER,Yes - Chris Handy (Head of AI),Chris Handy is your connection at TrueBlue,2026-01-12
Lever,TBD,CEO,N/A,,NEEDS_RESEARCH,No,Acquired by Employ Inc - find current leadership,2026-01-12
Hudson Global,Jeff Eberwein,CEO,N/A,,NEEDS_RESEARCH,No,,2026-01-12
Workable,Nikos Moraitakis,CEO & Co-Founder,Needs research,,NEEDS_RESEARCH,No,,2026-01-12
Harver,TBD,CEO,Needs research,,NEEDS_RESEARCH,No,Acquired Pymetrics,2026-01-12
Heidrick & Struggles,Tom Monahan,CEO,Needs research,,NEEDS_RESEARCH,No,,2026-01-12
Robert Half,M. Keith Waddell,CEO,N/A,,NO_TWITTER,No,Public company - formal comms,2026-01-12
Okta,Todd McKinnon,CEO,Needs research,,NEEDS_RESEARCH,No,,2026-01-12
Findem,Hari Kolam,CEO & Co-Founder,Needs research,,NEEDS_RESEARCH,No,,2026-01-12
Kforce,Joseph Liberatore,CEO,N/A,,NO_TWITTER,No,Public company,2026-01-12
TEKsystems,TBD,President,Needs research,,NEEDS_RESEARCH,No,Part of Allegis Group,2026-01-12
Fountain,Sean Behr,CEO,Needs research,,NEEDS_RESEARCH,No,,2026-01-12
Pontoon,TBD,CEO,Needs research,,NEEDS_RESEARCH,No,Part of Adecco Group,2026-01-12
