Day,Title,How to apply (optional),URL of where to,Company,Full Job Description,Location,Country,Tags Matched,Notes,Within_3_Days
2025-09-21,Senior Product Manager (Payment Gateway),,fyst.applytojob.com/apply/uljVBS9hWd/Senior-Product-Manager-Payment-Gateway,FYST,Senior Product Manager (Payment Gateway),Remote,Poland,GDPR,,yes
2025-09-21,Product Manager, Education & Learning,,jobs.ashbyhq.com/openai/74ee2eac-9970-42c2-9e65-e89e858ad6c0,OpenAI,Product Manager, Education & Learning,San Francisco,United States,OpenAI; Google Tag Manager,,yes
2025-09-21,Growth Product Manager,,hireforyou.peopleforce.io/careers/v/149855,hireforyou.pro,Growth Product Manager,Remote,,,yes
2025-09-21,Product Manager, Schools,,jobs.ashbyhq.com/padlet/6c0945ab-f704-4b7c-8677-402ebc0fbf6c,Padlet,Product Manager, Schools,San Francisco,United States,Presidio,,yes
2025-09-21,Senior Product Manager - Acumatica ERP,,velixo.applytojob.com/apply/RtCabuxkTV/Senior-Product-Manager-Acumatica-ERP,Velixo,Senior Product Manager - Acumatica ERP,Remote,Canada,Acumatica; Sage; Excel; Microsoft,,yes
2025-09-21,Principal Product Manager-B2B2C,,jobs.ashbyhq.com/phil/dcff543a-01a1-47f0-b0d1-f4b7af783453,PHIL,Principal Product Manager-B2B2C,Remote,United States,,,yes
2025-09-21,Product Manager,,capiogroup.applytojob.com/apply/lkR1YrjlRu/Product-Manager,Capio Group,Product Manager,Remote,United States,,,yes
2025-09-21,Senior Product Manager (Payment Gateway),,fyst.applytojob.com/apply/p56WbbcSnU/Senior-Product-Manager-Payment-Gateway,FYST,Senior Product Manager (Payment Gateway),Remote,,GDPR; Compliance,,yes
2025-09-21,Sr. Product Manager II (6043),,boards.greenhouse.io/metrostarsystems/jobs/7450356003,MetroStar,Sr. Product Manager II (6043),Remote,United States,ServiceNow,,yes
2025-09-21,Product Manager  	3Integrated Payments	4,,blazesolutions.applytojob.com/apply/CCQQjF9IZI/Product-Manager-Integrated-Payments,Blaze Solutions,Product Manager - Integrated Payments,Remote,,,yes
2025-09-21,Product Manager, Government + Secure Deployment,,jobs.ashbyhq.com/twelve-labs/4e08066f-9190-4758-86dc-c9c013a3e518,TwelveLabs,Product Manager, Government + Secure Deployment,San Francisco,United States,,,yes
2025-09-21,Product Manager, Video Search and Embeddings,,jobs.ashbyhq.com/twelve-labs/40499429-1e42-49a0-ad0b-64ce6dae3bbc,TwelveLabs,Product Manager, Video Search and Embeddings,San Francisco,United States,,,yes
2025-09-20,Senior Product Manager, Growth & Engagement,,boards.greenhouse.io/cartwheelcare/jobs/4909670007,Cartwheel,Senior Product Manager, Growth & Engagement,Remote,,,yes
2025-09-20,Project Manager / Product manager,,boards.greenhouse.io/whitetech/jobs/4678165101,WhiteTech,Project Manager / Product manager,Remote,,Confluence,,yes
2025-09-20,Founding Product Manager,,jobs.ashbyhq.com/outset/87a8e735-eca3-493f-befd-2fb6dc709111,Outset,Founding Product Manager,San Francisco,United States,Uber; Microsoft,,yes
2025-09-19,Azure DevOps Program/Product Manager,,imaginexdigital.applytojob.com/apply/FUP73rDuWQ/Azure-DevOps-ProgramProduct-Manager,ImagineX Consulting,Azure DevOps Program/Product Manager,Remote,United States,Azure,,no
2025-09-19,Digital Product Manager / Gestionnaire de produit numerique,,digitalmoment.applytojob.com/apply/QrAXLocXf4/Digital-Product-Manager-Gestionnaire-De-Produit-Numerique,Digital Moment,Digital Product Manager / Gestionnaire de produit numerique,Remote,,,no
2025-09-19,Sr. Product Manager,,foundationai.applytojob.com/apply/rH7LGLu6wj/Sr-Product-Manager,Foundation AI,Sr. Product Manager,Remote,United States,Confluence; Jira,,no
